DriverID,Nationality,Last_Name,First_Name,Total_Ind_Score,Race_Name,Country,State,Date,Circuit_Name,,,
77,FIN,BOTTAS,VALTERRI,25,AUSTRIA GRAND PRIX,AUSTRIA,STYRIA, 2020-07-05,RED BULL RING,,,
16,MON,LECLERC,CHARLES,18,AUSTRIA GRAND PRIX,AUSTRIA,STYRIA, 2020-07-05,RED BULL RING,,,
4,GBR,NORRIS,LANDO,16,AUSTRIA GRAND PRIX,AUSTRIA,STYRIA, 2020-07-05,RED BULL RING,,,
44,GBR,HAMILTON,LEWIS,12,AUSTRIA GRAND PRIX,AUSTRIA,STYRIA, 2020-07-05,RED BULL RING,,,
55,ESP,SAINZ,CARLOS,10,AUSTRIA GRAND PRIX,AUSTRIA,STYRIA, 2020-07-05,RED BULL RING,,,
11,MEX,PEREZ,SERGIO,8,AUSTRIA GRAND PRIX,AUSTRIA,STYRIA, 2020-07-05,RED BULL RING,,,
10,FRA,GASLY,PIERE,6,AUSTRIA GRAND PRIX,AUSTRIA,STYRIA, 2020-07-05,RED BULL RING,,,
31,FRA,OCON,ESTEBAN,4,AUSTRIA GRAND PRIX,AUSTRIA,STYRIA, 2020-07-05,RED BULL RING,,,
99,ITA,GIOVINAZZI,ANTONIO,2,AUSTRIA GRAND PRIX,AUSTRIA,STYRIA, 2020-07-05,RED BULL RING,,,
5,GER,VETTEL,SEBASTIAN,1,AUSTRIA GRAND PRIX,AUSTRIA,STYRIA, 2020-07-05,RED BULL RING,,,
6,CAN,LATIFI,NICHOLAS,0,AUSTRIA GRAND PRIX,AUSTRIA,STYRIA, 2020-07-05,RED BULL RING,,,
26,RUS,KVYAT,DANIIL,0,AUSTRIA GRAND PRIX,AUSTRIA,STYRIA, 2020-07-05,RED BULL RING,,,
23,THA,ALBON,ALEX,0,AUSTRIA GRAND PRIX,AUSTRIA,STYRIA, 2020-07-05,RED BULL RING,,,
7,FIN,RAIKKONEN,KIMI,0,AUSTRIA GRAND PRIX,AUSTRIA,STYRIA, 2020-07-05,RED BULL RING,,,
63,GBR,RUSSELL,GEORGE,0,AUSTRIA GRAND PRIX,AUSTRIA,STYRIA, 2020-07-05,RED BULL RING,,,
8,FRA,GROSJEAN,ROMAN,0,AUSTRIA GRAND PRIX,AUSTRIA,STYRIA, 2020-07-05,RED BULL RING,,,
20,DEN,MAGNUSSEN,KEVIN,0,AUSTRIA GRAND PRIX,AUSTRIA,STYRIA, 2020-07-05,RED BULL RING,,,
18,CAN,STROLL,LANCE,0,AUSTRIA GRAND PRIX,AUSTRIA,STYRIA, 2020-07-05,RED BULL RING,,,
3,AUS,RICCIARDO,DANIEL,0,AUSTRIA GRAND PRIX,AUSTRIA,STYRIA, 2020-07-05,RED BULL RING,,,
33,NED,VERSTAPPEN,MAX,0,AUSTRIA GRAND PRIX,AUSTRIA,STYRIA, 2020-07-05,RED BULL RING,,,
44,GBR,HAMILTON,LEWIS,37,STYRIA GRAND PRIX,AUSTRIA,STYRIA, 2020-07-12,RED BULL RING,,,
77,FIN,BOTTAS,VALTERRI,43,STYRIA GRAND PRIX,AUSTRIA,STYRIA, 2020-07-12,RED BULL RING,,,
33,NED,VERSTAPPEN,MAX,15,STYRIA GRAND PRIX,AUSTRIA,STYRIA, 2020-07-12,RED BULL RING,,,
23,THA,ALBON,ALEX,12,STYRIA GRAND PRIX,AUSTRIA,STYRIA, 2020-07-12,RED BULL RING,,,
4,GBR,NORRIS,LANDO,36,STYRIA GRAND PRIX,AUSTRIA,STYRIA, 2020-07-12,RED BULL RING,,,
11,MEX,PEREZ,SERGIO,16,STYRIA GRAND PRIX,AUSTRIA,STYRIA, 2020-07-12,RED BULL RING,,,
18,CAN,STROLL,LANCE,6,STYRIA GRAND PRIX,AUSTRIA,STYRIA, 2020-07-12,RED BULL RING,,,
3,AUS,RICCIARDO,DANIEL,4,STYRIA GRAND PRIX,AUSTRIA,STYRIA, 2020-07-12,RED BULL RING,,,
55,ESP,SAINZ,CARLOS,13,STYRIA GRAND PRIX,AUSTRIA,STYRIA, 2020-07-12,RED BULL RING,,,
26,RUS,KVYAT,DANIIL,1,STYRIA GRAND PRIX,AUSTRIA,STYRIA, 2020-07-12,RED BULL RING,,,
7,FIN,RAIKKONEN,KIMI,0,STYRIA GRAND PRIX,AUSTRIA,STYRIA, 2020-07-12,RED BULL RING,,,
20,DEN,MAGNUSSEN,KEVIN,0,STYRIA GRAND PRIX,AUSTRIA,STYRIA, 2020-07-12,RED BULL RING,,,
8,FRA,GROSJEAN,ROMAN,0,STYRIA GRAND PRIX,AUSTRIA,STYRIA, 2020-07-12,RED BULL RING,,,
99,ITA,GIOVINAZZI,ANTONIO,2,STYRIA GRAND PRIX,AUSTRIA,STYRIA, 2020-07-12,RED BULL RING,,,
10,FRA,GASLY,PIERE,6,STYRIA GRAND PRIX,AUSTRIA,STYRIA, 2020-07-12,RED BULL RING,,,
63,GBR,RUSSELL,GEORGE,0,STYRIA GRAND PRIX,AUSTRIA,STYRIA, 2020-07-12,RED BULL RING,,,
6,CAN,LATIFI,NICHOLAS,0,STYRIA GRAND PRIX,AUSTRIA,STYRIA, 2020-07-12,RED BULL RING,,,
31,FRA,OCON,ESTEBAN,4,STYRIA GRAND PRIX,AUSTRIA,STYRIA, 2020-07-12,RED BULL RING,,,
16,MON,LECLERC,CHARLES,18,STYRIA GRAND PRIX,AUSTRIA,STYRIA, 2020-07-12,RED BULL RING,,,
5,GER,VETTEL,SEBASTIAN,1,STYRIA GRAND PRIX,AUSTRIA,STYRIA, 2020-07-12,RED BULL RING,,,
44,GBR,HAMILTON,LEWIS,26,HUNGARY GRAND PRIX,HUNGARY,BUDAPEST, 2021-07-19,HUNGARORING,,,
33,NED,VERSTAPPEN,MAX,18,HUNGARY GRAND PRIX,HUNGARY,BUDAPEST, 2021-07-19,HUNGARORING,,,
77,FIN,BOTTAS,VALTERRI,15,HUNGARY GRAND PRIX,HUNGARY,BUDAPEST, 2021-07-19,HUNGARORING,,,
18,CAN,STROLL,LANCE,12,HUNGARY GRAND PRIX,HUNGARY,BUDAPEST, 2021-07-19,HUNGARORING,,,
23,THA,ALBON,ALEX,10,HUNGARY GRAND PRIX,HUNGARY,BUDAPEST, 2021-07-19,HUNGARORING,,,
5,GER,VETTEL,SEBASTIAN,8,HUNGARY GRAND PRIX,HUNGARY,BUDAPEST, 2021-07-19,HUNGARORING,,,
11,MEX,PEREZ,SERGIO,6,HUNGARY GRAND PRIX,HUNGARY,BUDAPEST, 2021-07-19,HUNGARORING,,,
3,AUS,RICCIARDO,DANIEL,4,HUNGARY GRAND PRIX,HUNGARY,BUDAPEST, 2021-07-19,HUNGARORING,,,
55,ESP,SAINZ,CARLOS,2,HUNGARY GRAND PRIX,HUNGARY,BUDAPEST, 2021-07-19,HUNGARORING,,,
20,DEN,MAGNUSSEN,KEVIN,1,HUNGARY GRAND PRIX,HUNGARY,BUDAPEST, 2021-07-19,HUNGARORING,,,
16,MON,LECLERC,CHARLES,0,HUNGARY GRAND PRIX,HUNGARY,BUDAPEST, 2021-07-19,HUNGARORING,,,
26,RUS,KVYAT,DANIIL,0,HUNGARY GRAND PRIX,HUNGARY,BUDAPEST, 2021-07-19,HUNGARORING,,,
4,GBR,NORRIS,LANDO,0,HUNGARY GRAND PRIX,HUNGARY,BUDAPEST, 2021-07-19,HUNGARORING,,,
31,FRA,OCON,ESTEBAN,0,HUNGARY GRAND PRIX,HUNGARY,BUDAPEST, 2021-07-19,HUNGARORING,,,
7,FIN,RAIKKONEN,KIMI,0,HUNGARY GRAND PRIX,HUNGARY,BUDAPEST, 2021-07-19,HUNGARORING,,,
8,FRA,GROSJEAN,ROMAN,0,HUNGARY GRAND PRIX,HUNGARY,BUDAPEST, 2021-07-19,HUNGARORING,,,
99,ITA,GIOVINAZZI,ANTONIO,0,HUNGARY GRAND PRIX,HUNGARY,BUDAPEST, 2021-07-19,HUNGARORING,,,
63,GBR,RUSSELL,GEORGE,0,HUNGARY GRAND PRIX,HUNGARY,BUDAPEST, 2021-07-19,HUNGARORING,,,
6,CAN,LATIFI,NICHOLAS,0,HUNGARY GRAND PRIX,HUNGARY,BUDAPEST, 2021-07-19,HUNGARORING,,,
10,FRA,GASLY,PIERE,0,HUNGARY GRAND PRIX,HUNGARY,BUDAPEST, 2021-07-19,HUNGARORING,,,
44,GBR,HAMILTON,LEWIS,51,BRITISH GRAND PRIX,GREAT BRITAIN,NORTHAMPTONSHIRE, 2021-08-12,SILVERSTONE,,,
33,NED,VERSTAPPEN,MAX,37,BRITISH GRAND PRIX,GREAT BRITAIN,NORTHAMPTONSHIRE, 2021-08-12,SILVERSTONE,,,
16,MON,LECLERC,CHARLES,15,BRITISH GRAND PRIX,GREAT BRITAIN,NORTHAMPTONSHIRE, 2021-08-12,SILVERSTONE,,,
3,AUS,RICCIARDO,DANIEL,16,BRITISH GRAND PRIX,GREAT BRITAIN,NORTHAMPTONSHIRE, 2021-08-12,SILVERSTONE,,,
4,GBR,NORRIS,LANDO,10,BRITISH GRAND PRIX,GREAT BRITAIN,NORTHAMPTONSHIRE, 2021-08-12,SILVERSTONE,,,
31,FRA,OCON,ESTEBAN,8,BRITISH GRAND PRIX,GREAT BRITAIN,NORTHAMPTONSHIRE, 2021-08-12,SILVERSTONE,,,
10,FRA,GASLY,PIERE,6,BRITISH GRAND PRIX,GREAT BRITAIN,NORTHAMPTONSHIRE, 2021-08-12,SILVERSTONE,,,
23,THA,ALBON,ALEX,14,BRITISH GRAND PRIX,GREAT BRITAIN,NORTHAMPTONSHIRE, 2021-08-12,SILVERSTONE,,,
18,CAN,STROLL,LANCE,14,BRITISH GRAND PRIX,GREAT BRITAIN,NORTHAMPTONSHIRE, 2021-08-12,SILVERSTONE,,,
5,GER,VETTEL,SEBASTIAN,9,BRITISH GRAND PRIX,GREAT BRITAIN,NORTHAMPTONSHIRE, 2021-08-12,SILVERSTONE,,,
77,FIN,BOTTAS,VALTERRI,15,BRITISH GRAND PRIX,GREAT BRITAIN,NORTHAMPTONSHIRE, 2021-08-12,SILVERSTONE,,,
63,GBR,RUSSELL,GEORGE,0,BRITISH GRAND PRIX,GREAT BRITAIN,NORTHAMPTONSHIRE, 2021-08-12,SILVERSTONE,,,
55,ESP,SAINZ,CARLOS,2,BRITISH GRAND PRIX,GREAT BRITAIN,NORTHAMPTONSHIRE, 2021-08-12,SILVERSTONE,,,
99,ITA,GIOVINAZZI,ANTONIO,0,BRITISH GRAND PRIX,GREAT BRITAIN,NORTHAMPTONSHIRE, 2021-08-12,SILVERSTONE,,,
6,CAN,LATIFI,NICHOLAS,0,BRITISH GRAND PRIX,GREAT BRITAIN,NORTHAMPTONSHIRE, 2021-08-12,SILVERSTONE,,,
8,FRA,GROSJEAN,ROMAN,0,BRITISH GRAND PRIX,GREAT BRITAIN,NORTHAMPTONSHIRE, 2021-08-12,SILVERSTONE,,,
7,FIN,RAIKKONEN,KIMI,0,BRITISH GRAND PRIX,GREAT BRITAIN,NORTHAMPTONSHIRE, 2021-08-12,SILVERSTONE,,,
26,RUS,KVYAT,DANIIL,0,BRITISH GRAND PRIX,GREAT BRITAIN,NORTHAMPTONSHIRE, 2021-08-12,SILVERSTONE,,,
20,DEN,MAGNUSSEN,KEVIN,1,BRITISH GRAND PRIX,GREAT BRITAIN,NORTHAMPTONSHIRE, 2021-08-12,SILVERSTONE,,,
27,GER,HULKENBERG,NICO,0,BRITISH GRAND PRIX,GREAT BRITAIN,NORTHAMPTONSHIRE, 2021-08-12,SILVERSTONE,,,
